霍乱由于O1群霍乱弧菌霍乱生物型所致	A00.000
帕套综合征	Q91.700
全染色体三体性减数分裂不分离	Q92.000
全染色体三体性同源嵌合体有丝分裂不分离	Q92.100
常染色体大部分三体性	Q92.200
常染色体小部分三体性	Q92.300
常染色体仅出现于前中期的重复	Q92.400
常染色体伴有其他复杂性重排的重复	Q92.500
常染色体额外标记染色体	Q92.600
常染色体三倍体和多倍体	Q92.700
常染色体其他特指的三体性和部分三体型	Q92.800
常染色体三体性和部分三体型	Q92.900
全染色体单体性减数分裂不分离	Q93.000
全染色体单体性同源嵌合体有丝分裂不分离	Q93.100
环状染色体或双着丝粒染色体替换	Q93.200
染色体4短臂缺失	Q93.300
沃尔夫希绍恩综合征WolffHirschorn综合征	Q93.300x001
染色体5短臂缺失	Q93.400
猫叫综合征	Q93.400x001
染色体其他部分缺失	Q93.500
22号染色体缺如综合征	Q93.500x001
快乐木偶综合征Angelman综合征	Q93.500x002
天使综合征	Q93.501
常染色体仅出现于前中期的缺失	Q93.600
常染色体缺失伴有其他复杂性的重排	Q93.700
常染色体的其他缺失	Q93.800
常染色体的缺失	Q93.900
正常个体中平衡易位和插入	Q95.000
正常个体中染色体倒位	Q95.100
异常个体中平衡常染色体重排	Q95.200
异常个体中平衡性染色体或常染色体重排	Q95.300
具有标记异染色质的个体	Q95.400
具有常染色体脆性位点的个体	Q95.500
平衡重排和结构标记其他的	Q95.800
平衡重排和结构标记	Q95.900
核型45X特纳综合征	Q96.000
核型46X同种Xq特纳综合征	Q96.100
核型46X伴有异常的性染色体除外同种Xq特纳综合征	Q96.200
同源嵌合体45X46XX或XY特纳综合征	Q96.300
同源嵌合体45X其他细胞系伴有异常的性染色体特纳综合征	Q96.400
特纳综合征的其他变型	Q96.800
特纳综合征	Q96.900
混合性性腺发育不全	Q96.900x002
男性性腺发育不全症	Q96.901
染色体核型47XXX	Q97.000
XXX综合征	Q97.000x001
女性伴有多于三个X染色体的	Q97.100
同源嵌合体细胞系伴有不同数量的X染色体	Q97.200
女性染色体伴有46XY核型	Q97.300
XY单纯性腺发育不全综合征	Q97.300x001
性染色体异常其他特指的女性表型	Q97.800
性染色体异常女性表型	Q97.900
克兰费尔特综合征核型47XXY	Q98.000
克兰费尔特综合征男性伴有多于两个X染色体的	Q98.100
克兰费尔特综合征男性伴有46XX核型的	Q98.200
男性染色体伴有46XX核型的其他的	Q98.300
克兰费尔特综合征	Q98.400
核型47XYY	Q98.500
男性伴有结构异常的性染色体	Q98.600
男性伴有性染色体同源嵌合体	Q98.700
性染色体异常其他特指的男性表型	Q98.800
性染色体异常男性表型	Q98.900
异源嵌合体46XX46XY	Q99.000
46XX男性综合征性逆转综合征	Q99.000x001
性反转综合征	Q99.001
46XX真两性同体	Q99.100
XX性发育异常	Q99.100x002
XY性发育异常	Q99.100x003
单纯性性腺发育不全	Q99.101
单纯性性腺发育障碍症	Q99.102
脆性X染色体	Q99.200
染色体异常其他特指的	Q99.800
性发育畸形	Q99.801
染色体异常	Q99.900
心动过速	R00.000
窦性心动过速	R00.001
心动过缓	R00.100
窦性心动过缓	R00.100x001
心悸	R00.200
心脏搏动异常其他和未特指的	R00.800
三联律	R00.800x001
四联律	R00.800x003
心脏搏动异常	R00.801
良性和无害的心脏杂音	R01.000
心脏杂音	R01.100
心音其他的	R01.200
心前区摩擦音	R01.200x003
坏疽不可归类在他处者	R02.x00
血压读数升高无高血压诊断者	R03.000
应激性高血压	R03.001
非特异性低血压读数	R03.100
鼻出血	R04.000
咽喉出血	R04.100
咯血	R04.200
呼吸道其他部位出血	R04.800
支气管内出血	R04.800x002
弥漫性肺泡出血	R04.800x004
鼻咽出血	R04.801
肺出血	R04.802
呼吸道出血	R04.900
咳嗽	R05.x00
咳嗽晕厥综合征	R05.x01
呼吸困难	R06.000
端坐呼吸	R06.000x002
喘鸣	R06.100
喘息	R06.200
周期性呼吸	R06.300
切恩斯托克斯呼吸	R06.301
通气过度	R06.400
口呼吸	R06.500
鼾症	R06.501
呃逆	R06.600
喷嚏	R06.700
呼吸异常其他和未特指的	R06.800
叹息	R06.800x005
屏气	R06.801
低通气综合征	R06.802
呼吸肌麻痹	R06.803
呼吸异常	R06.804
呼吸暂停	R06.805
高碳酸血症	R06.806
咽痛	R07.000
呼吸时胸痛	R07.100
痛性呼吸	R07.101
心前区痛	R07.200
胸痛其他的	R07.300
肋软骨痛	R07.300x002
前胸壁痛	R07.301
胸痛	R07.400
窒息	R09.000
低氧血症	R09.001
胸膜炎	R09.100
慢性胸膜炎	R09.100x002
胆汁性胸膜炎	R09.101
呼吸停止	R09.200
心脏呼吸衰竭	R09.201
痰异常	R09.300
累及循环和呼吸系统其他特指的症状和体征	R09.800
动脉性杂音	R09.800x081
脉搏弱	R09.800x082
啰音	R09.800x091
胸腔鼓音	R09.800x092
胸腔异常敲击音	R09.800x093
胸膜摩擦音	R09.800x094
喘憋	R09.800x095
胸闷	R09.800x096
急腹症	R10.000
严重腹痛伴腹部强直	R10.000x004
局限于上腹部的疼痛	R10.100
上腹痛	R10.101
胃痛	R10.102
盆腔和会阴痛	R10.200
盆腔痛	R10.200x001
会阴痛	R10.201
局限于下腹部其他部位的疼痛	R10.300
下腹痛	R10.301
腹痛其他和未特指的	R10.400
功能性腹痛	R10.400x002
婴儿型腹部绞痛	R10.400x004
肠绞痛	R10.401
腹痛	R10.402
恶心和呕吐	R11.x00
周期性呕吐	R11.x01
恶心	R11.x02
呕吐	R11.x03
胃灼热	R12.x00
反酸	R12.x00x002
吞咽困难	R13.x00
胃肠气胀及有关情况	R14.x00
胃胀气	R14.x00x001
嗳气	R14.x00x002
气胀痛	R14.x00x003
腹胀	R14.x00x006
肠胀气	R14.x00x007
大便失禁	R15.x00
肛门括约肌失禁	R15.x01
肝大不可归类在他处者	R16.000
肝大	R16.000x001
脾大不可归类在他处者	R16.100
脾大	R16.100x001
肝大伴有脾大不可归类在他处者	R16.200
肝脾大	R16.200x001
黄疸	R17.x00
感染性黄疸	R17.x01
腹水	R18.x00
包裹性腹腔积液	R18.x00x001
血性腹水	R18.x00x003
腹腔积液	R18.x00x005
膈下积液	R18.x01
腹腔内和盆腔的肿胀肿物和肿块	R19.000
腹腔假囊肿	R19.000x003
盆腔内弥漫性肿胀	R19.000x005
盆腔内广泛性肿块	R19.000x008
脐弥漫性肿胀	R19.000x009
脐广泛性肿块	R19.000x012
腹腔内弥漫性肿胀	R19.000x013
腹腔内广泛性肿块	R19.000x016
腹部肿物	R19.001
盆腔肿物	R19.002
脐肿物	R19.003
腹部肿胀	R19.004
异常肠鸣音	R19.100
肠鸣音亢进	R19.100x001
肠鸣音消失	R19.100x002
可见性蠕动	R19.200
可见性肠蠕动	R19.200x001
蠕动过强	R19.200x002
腹强直	R19.300
大便习惯改变	R19.400
大便异常其他的	R19.500
大便颜色异常	R19.500x002
脓血便	R19.500x003
粘液便	R19.500x004
便潜血	R19.501
口臭	R19.600
累及消化系统和腹部其他特指的症状和体征	R19.800
排便困难	R19.800x001
皮肤感觉缺失	R20.000
皮肤感觉减退	R20.100
皮肤感觉异常	R20.200
皮肤针刺感	R20.200x002
皮肤麻刺感	R20.200x003
皮痛	R20.200x006
蚁走感	R20.201
偏身感觉异常	R20.202
感觉过敏	R20.300
皮肤感觉过敏	R20.300x001
皮肤感觉障碍其他和未特指的	R20.800
皮肤感觉障碍	R20.801
口周麻木	R20.802
肢体麻木	R20.803
皮疹和其他非特异性斑疹	R21.x00
过敏性皮疹	R21.x00x001
痤疮样皮疹	R21.x00x003
青少年春季疹	R21.x00x004
非特异性斑疹	R21.x01
皮疹	R21.x02
头部的局部肿胀肿物和肿块	R22.000
面部肿胀	R22.000x003
头部肿胀	R22.000x004
头部肿物	R22.000x005
头部局部肿物	R22.001
头皮肿物	R22.002
鼻部肿物	R22.003
颊肿物	R22.004
面部肿物	R22.005
耳部肿物	R22.006
颈部的局部肿胀肿物和肿块	R22.100
颈部肿物	R22.100x001
颈部肿胀	R22.100x002
颈部局部肿物	R22.101
躯干的局部肿胀肿物和肿块	R22.200
躯干肿胀	R22.200x001
躯干肿物	R22.200x002
胸部肿物	R22.200x004
躯干局部肿物	R22.201
胸壁肿物	R22.202
腹壁肿物	R22.203
腹股沟肿物	R22.204
背部肿物	R22.205
骶尾部肿物	R22.206
臀部肿物	R22.207
上肢的局部肿胀肿物和肿块	R22.300
上肢肿物	R22.300x001
手肿物	R22.300x002
上肢局部肿物	R22.301
肩部肿物	R22.302
下肢的局部肿胀肿物和肿块	R22.400
下肢肿物	R22.400x002
足肿物	R22.400x003
下肢局部肿物	R22.401
髋部肿物	R22.402
多部位的局部肿胀肿物和肿块	R22.700
多部位肿胀	R22.700x001
多部位肿物	R22.700x002
多部位局部肿物	R22.701
局部肿胀肿物和肿块	R22.900
局部肿物	R22.901
皮下肿物	R22.902
皮肤肿物	R22.903
皮下结节	R22.904
发绀紫绀	R23.000
苍白	R23.100
皮肤湿冷	R23.100x002
皮肤苍白	R23.100x003
网状青斑症	R23.101
发红	R23.200
皮肤潮红	R23.200x002
自发性瘀斑	R23.300
出血斑点	R23.300x003
皮下出血	R23.301
皮肤质地的改变	R23.400
皮肤脱落	R23.400x001
皮肤脱屑	R23.400x003
皮肤硬结	R23.401
皮肤改变其他和未特指的	R23.800
丘疹	R23.800x001
珍珠状阴茎丘疹	R23.800x002
皮肤改变	R23.801
异常的头部运动	R25.000
发作性点头症	R25.001
震颤	R25.100
下肢震颤	R25.100x001
上肢震颤	R25.100x002
头部震颤	R25.100x003
痛性痉挛和痉挛	R25.200
痛性痉挛	R25.200x001
痉挛	R25.200x002
痉挛0级	R25.200x004
痉挛1级	R25.200x005
痉挛1级	R25.200x006
痉挛2级	R25.200x007
痉挛3级	R25.200x008
痉挛4级	R25.200x009
痛性肌痉挛	R25.201
肌束震颤	R25.300
颤搐	R25.300x002
异常的不随意运动其他和未特指的	R25.800
不自主运动	R25.800x001
反射性发作	R25.801
手足徐动症	R25.802
异常不随意运动	R25.803
共济失调步态	R26.000
蹒跚性步态	R26.000x001
麻痹步态	R26.100
痉挛性步态	R26.100x001
行走困难不可归类在他处者	R26.200
行走困难	R26.200x001
固态不动	R26.300
卧床不起	R26.301
异常的步态和移动其他和未特指的	R26.800
异常步态	R26.800x001
异常步态和移动	R26.801
走路不稳	R26.802
共济失调	R27.000
协调缺乏其他和未特指的	R27.800
协调障碍	R27.800x001
中枢性协调障碍	R27.800x002
协调缺乏	R27.801
手足搐搦	R29.000
假性脑膜炎	R29.100
异常反射	R29.200
异常姿势	R29.300
弹响髋	R29.400
跌倒倾向不可归类在他处者	R29.600
累及神经和肌肉骨骼系统其他和未特指的症状和体征	R29.800
半侧运动不能	R29.800x502
半侧注意不能	R29.800x503
半侧空间忽略	R29.800x504
左侧忽略	R29.800x505
感觉忽略	R29.800x507
视空间忽略	R29.800x508
累及神经和肌肉骨骼系统症状和体征	R29.801
短暂性肢体麻痹	R29.802
短暂性单瘫	R29.803
排尿困难	R30.000
痛性尿淋漓	R30.000x002
排尿里急后重	R30.100
尿急	R30.100x001
痛性排尿	R30.900
尿痛	R30.900x001
血尿	R31.x00
尿失禁	R32.x00
遗尿	R32.x01
尿潴留	R33.x00
无尿和少尿	R34.x00
少尿	R34.x01
无尿	R34.x02
多尿	R35.x00
尿频	R35.x00x001
夜尿	R35.x00x003
尿道排出物	R36.x00
尿道溢液	R36.x01
尿外渗	R39.000
排尿困难其他的	R39.100
排尿踌躇	R39.101
肾外性尿毒症	R39.200
肾前性尿毒症	R39.200x001
累及泌尿系统其他和未特指的症状和体征	R39.800
累及泌尿系统症状和体征	R39.801
嗜眠	R40.000
木僵	R40.100
中昏迷	R40.100x002
浅昏迷	R40.100x003
亚木僵	R40.100x005
昏迷	R40.200
一过性意识丧失	R40.200x002
深昏迷	R40.200x004
意识模糊	R40.200x005
意识丧失	R40.201
定向障碍	R41.000
意识错乱	R41.001
顺行性遗忘	R41.100
逆行性遗忘	R41.200
遗忘症其他的	R41.300
遗忘	R41.300x001
累及认知功能和意识的其他和未特指的症状和体征	R41.800
逻辑障碍	R41.800x002
智能减退	R41.801
头晕和眩晕	R42.x00
眩晕	R42.x00x001
周期性眩晕	R42.x00x002
头晕	R42.x00x004
嗅觉丧失	R43.000
嗅觉倒错	R43.100
味觉倒错	R43.200
嗅觉和味觉障碍其他和未特指的	R43.800
嗅觉障碍	R43.800x001
嗅觉与味觉混合障碍	R43.800x002
味觉障碍	R43.800x003
味觉丧失	R43.800x004
嗅觉和味觉障碍	R43.801
幻听	R44.000
幻视	R44.100
幻觉其他的	R44.200
幻嗅	R44.201
幻觉	R44.300
累及一般感觉和知觉的其他和未特指的症状和体征	R44.800
累及一般感觉和知觉症状和体征	R44.801
神经质	R45.000
不安和激动	R45.100
不安	R45.100x001
激越状态	R45.100x002
不愉快	R45.200
忧虑	R45.200x001
不悦感	R45.200x002
烦恼	R45.200x003
沮丧和情感淡漠	R45.300
淡漠	R45.300x001
沮丧	R45.300x002
急躁和愤怒	R45.400
急躁	R45.400x001
敌视	R45.500
凶暴	R45.600
情绪冲动和紧张状态	R45.700
情绪冲动	R45.700x001
紧张状态	R45.700x002
累及情绪状态的其他症状和体征	R45.800
癔症样发作	R45.800x091
自杀倾向	R45.801
个人卫生水平极差	R46.000
不正常的个人外貌	R46.100
奇怪和令人费解的行为	R46.200
行为异常	R46.200x002
过度活动	R46.300
迟钝和反应不良	R46.400
多疑和明显逃避	R46.500
对应激事件的过分担心和偏见	R46.600
用啰嗦和详细叙述的语言使交往的理由含糊不清	R46.700
累及外貌与行为的其他症状和体征	R46.800
缄默状态	R46.800x001
言语困难和失语	R47.000
失语	R47.000x001
完全性失语	R47.000x005
传导性失语	R47.000x006
丘脑性失语	R47.000x008
原发性进行性失语	R47.000x009
语言困难	R47.001
命名性失语	R47.002
运动性失语	R47.003
混合性失语	R47.004
构音困难和构音不全	R47.100
构音障碍	R47.100x001
言语讷吃	R47.100x002
构音不全	R47.101
言语障碍其他和未特指的	R47.800
言语不清	R47.801
言语障碍	R47.802
诵读困难和失读症	R48.000
诵读困难	R48.000x002
失读	R48.001
失认	R48.100
失用	R48.200
符号识别功能障碍其他和未特指的	R48.800
计算不能	R48.800x001
失写	R48.800x002
计算困难	R48.800x004
精神性聋	R48.800x005
符号识别功能障碍	R48.801
发声困难	R49.000
声嘶	R49.001
失声	R49.100
鼻音过重和鼻音过轻	R49.200
鼻音过重	R49.201
鼻音过轻	R49.202
语音障碍其他和未特指的	R49.800
语音改变	R49.800x002
声音改变	R49.800x003
语音障碍	R49.801
药物性发热	R50.200
发热其他特指的	R50.800
发热伴寒战	R50.800x001
发热伴强直	R50.800x002
持续性发热	R50.800x003
发热	R50.900
高热	R50.900x002
夏季热	R50.901
头痛	R51.x00
低颅压性头痛	R51.x00x002
面部疼痛	R51.x00x003
急性疼痛	R52.000
慢性顽固性疼痛	R52.100
慢性疼痛其他的	R52.200
疼痛	R52.900
全身疼痛	R52.900x001
全身性疼痛	R52.901
不适和疲劳	R53.x00
肢体无力	R53.x00x001
乏力	R53.x00x002
偏侧肢体无力	R53.x00x003
全身衰退	R53.x00x004
不适	R53.x00x005
慢性虚弱	R53.x00x006
神经性虚弱	R53.x00x007
虚弱	R53.x00x008
嗜睡	R53.x00x009
疲劳	R53.x00x010
特发性嗜睡	R53.x00x011
周期性嗜睡	R53.x00x012
衰老	R54.x00
老年性无力	R54.x00x002
老年性虚弱	R54.x00x003
老年性震颤	R54.x01
晕厥	R55.x00x001
心源性晕厥	R55.x00x002
排尿性晕厥	R55.x00x003
脑源性晕厥	R55.x00x004
情景性晕厥	R55.x00x005
反射性晕厥	R55.x00x006
器质性晕厥	R55.x00x007
情境性晕厥	R55.x00x008
血管抑制性晕厥	R55.x00x009
血管迷走性晕厥混合型	R55.x00x010
血管迷走性晕厥心脏抑制型	R55.x00x011
血管迷走性晕厥血管型	R55.x00x012
血管迷走性晕厥	R55.x00x013
迷走神经性晕厥	R55.x00x014
虚脱	R55.x00x015
晕厥和虚脱	R55.x01
发热性惊厥	R56.000
惊厥其他和未特指的	R56.800
抽搐状态	R56.800x001
惊厥发作	R56.800x002
不明原因抽搐	R56.800x003
良性惊厥	R56.800x005
癫痫样发作	R56.801
婴儿惊厥	R56.802
惊厥	R56.803
心源性休克	R57.000
血容量不足性休克	R57.100
失血性休克	R57.101
感染性休克	R57.200
休克其他的	R57.800
内毒素性休克	R57.800x003
梗阻性休克	R57.801
血管舒张性休克	R57.802
神经源性休克	R57.803
休克	R57.900
周围循环衰竭	R57.900x002
循环衰竭	R57.901
出血不可归类在他处者	R58.x00
内脏出血	R58.x00x002
粘膜出血	R58.x00x004
肿瘤破裂出血	R58.x00x005
出血	R58.x00x006
肿瘤伴出血	R58.x00x007
腹腔内出血	R58.x01
瘀斑	R58.x02
局限性淋巴结增大	R59.000
咽部淋巴结肿大	R59.000x004
局部淋巴结肿大	R59.000x009
面部淋巴结肿大	R59.000x010
肝门淋巴结肿大	R59.000x012
肝脾淋巴结肿大	R59.000x013
舌淋巴结肿大	R59.000x016
鼻咽淋巴结肿大	R59.002
舌根淋巴结肿大	R59.003
耳后淋巴结肿大	R59.004
颈淋巴结肿大	R59.005
颌下淋巴结肿大	R59.006
锁骨上淋巴结肿大	R59.007
腋下淋巴结肿大	R59.008
肺门淋巴结肿大	R59.009
纵隔淋巴结肿大	R59.010
腹腔淋巴结肿大	R59.011
腹膜后淋巴结肿大	R59.012
盆腔淋巴结肿大	R59.013
腹股沟淋巴结肿大	R59.014
全身性淋巴结增大	R59.100
淋巴结病	R59.100x002
淋巴结增大	R59.900
淋巴组织增生	R59.900x002
淋巴结反应性增生	R59.901
局限性水肿	R60.000
半身水肿	R60.000x001
局部水肿	R60.000x003
下肢水肿	R60.001
全身性水肿	R60.100
水肿	R60.900
流行性水肿	R60.900x003
儿童急性出血性水肿	R60.900x004
体液潴留	R60.901
局限性多汗症	R61.000
手汗症	R61.001
全身性多汗症	R61.100
多汗症	R61.900
盗汗	R61.901
发育指标延迟	R62.000
发育迟滞	R62.000x001
学语延迟	R62.000x002
学步延迟	R62.000x003
未达到其他预期正常生理发育水平	R62.800
生长发育迟缓	R62.801
未达到预期的正常生理发育水平	R62.900
食欲缺乏	R63.000
烦渴	R63.100
多饮	R63.100x002
贪食	R63.200
营养过度	R63.200x002
喂养困难和照管不当	R63.300
喂养困难	R63.300x002
照管不当	R63.300x003
异常的体重减轻	R63.400
体重异常减轻	R63.400x002
异常的体重增加	R63.500
体重异常增加	R63.500x001
由于自我忽视引起进食不足和饮水不足	R63.600
有关食物和液体摄取的其他症状和体征	R63.800
营养风险	R63.801
恶病质	R64.x00
消瘦	R64.x00x002
传染性病因的全身炎症反应综合征不伴有器官衰竭	R65.000
传染性病因的全身炎症反应综合征伴有器官衰竭	R65.100
非传染性病因的全身炎症反应综合征不伴有器官衰竭	R65.200
非感染性全身炎症反应综合征	R65.202
非传染性病因的全身炎症反应综合征伴有器官衰竭	R65.300
非感染性多器官功能障碍综合征MODS	R65.301
全身炎症反应综合征	R65.900
低温与低温环境无关	R68.000
婴儿期特有的非特指的症状	R68.100
新生儿呻吟	R68.100x001
易激惹婴儿	R68.100x002
新生儿哭闹	R68.100x003
婴儿过度哭闹	R68.101
口干	R68.200
杵状指	R68.300
杵状甲	R68.300x002
一般症状和体征其他特指的	R68.800
多脏器功能衰竭	R68.800x001
衰弱状态	R68.800x002
哭闹	R68.800x003
毒血症	R68.801
神游症	R68.803
原因不知的发病	R69.x00
红细胞沉降率升高	R70.000
血浆黏滞度异常	R70.100
高黏滞血症	R70.101
红细胞异常	R71.x00
红细胞形态学异常	R71.x00x004
红细胞体积异常	R71.x00x005
白细胞异常不可归类在他处者	R72.x00
白细胞异常	R72.x00x001
白细胞分类计数异常	R72.x00x002
葡萄糖耐量试验异常	R73.000
糖耐量异常	R73.000x001
隐性糖尿病	R73.000x002
化学性糖尿病	R73.001
糖尿病前期	R73.002
潜伏性糖尿病	R73.003
血糖过多	R73.900
血糖升高	R73.900x001
转氨酶和乳酸脱氢酶LDH水平升高	R74.000
转氨酶升高	R74.000x001
乳酸脱氢酶升高	R74.001
血清酶水平异常其他的	R74.800
酸性磷酸酶异常	R74.800x003
碱性磷酸酶异常	R74.800x004
淀粉酶异常	R74.800x005
脂酶三酰基甘油脂酶异常	R74.800x006
肌酸激酶增高	R74.800x007
CPK酶过多症	R74.800x008
高脂肪酶血症	R74.800x009
血清碱性磷酸酶异常	R74.801
血淀粉酶增高	R74.802
心肌酶谱异常	R74.803
巨淀粉酶血症	R74.804
脂酶异常	R74.805
血清酶水平异常	R74.900
血清肌酶异常	R74.900x001
人类免疫缺陷病毒HIV的实验室证据	R75.x00
人类免疫缺陷病毒阳性HIV阳性	R75.x00x001
抗体效价增高	R76.000
抗体滴度升高	R76.000x001
结核菌素试验的异常反应	R76.100
芒图试验异常	R76.100x001
梅毒血清学试验假阳性	R76.200
瓦塞尔曼反应假阳性	R76.200x002
血清免疫学异常所见其他特指的	R76.800
高免疫球蛋白血症	R76.800x001
低补体血症	R76.801
免疫球蛋白升高	R76.802
血清免疫学异常所见	R76.900
清蛋白白蛋白异常	R77.000
球蛋白异常	R77.100
高球蛋白血症	R77.101
甲胎蛋白异常	R77.200
高甲胎蛋白血症	R77.200x001
血浆蛋白的其他特指异常	R77.800
血脂异常	R77.800x001
PSA升高	R77.800x002
CA199升高	R77.800x003
CA125升高	R77.800x004
CEA升高	R77.800x005
肿瘤标记物升高	R77.800x006
D二聚体升高	R77.801
M蛋白血症	R77.802
癌胚抗原CEA升高	R77.803
血浆蛋白异常	R77.900
蛋白血症	R77.901
血中发现酒精	R78.000
血中发现阿片药物	R78.100
血中发现可卡因	R78.200
血中发现致幻剂	R78.300
血中发现其他可能成瘾的药物	R78.400
血中发现精神药物	R78.500
血中发现类固醇剂	R78.600
血中发现重金属水平异常	R78.700
血中发现通常不出现的其他特指物质	R78.800
血锂异常	R78.801
血中发现通常不出现的物质	R78.900
血液矿物质水平异常	R79.000
血液钴异常	R79.000x001
血液铜异常	R79.000x002
血液铁异常	R79.000x003
血液镁异常	R79.000x004
血液矿物质异常	R79.000x005
血液锌异常	R79.000x006
血液化学其他特指的异常所见	R79.800
低血氧症	R79.800x003
血清铁蛋白异常	R79.800x005
丙酮血症	R79.801
低尿酸血症	R79.802
氮质血症	R79.803
血清肉毒碱缺乏	R79.804
血气异常	R79.805
血液化学的异常所见	R79.900
孤立性蛋白尿	R80.x00
白蛋白尿	R80.x00x003
本周蛋白尿	R80.x01
蛋白尿	R80.x02
糖尿	R81.x00
尿糖增高	R81.x00x001
乳糜尿	R82.000
肌红蛋白尿	R82.100
胆汁尿	R82.200
血红蛋白尿	R82.300
丙酮尿	R82.400
酮尿	R82.401
尿内药物药剂和生物制剂水平升高	R82.500
尿中药物水平升高	R82.500x001
尿中生物制剂水平升高	R82.500x003
尿中17甾酮类水平升高	R82.500x004
尿中儿茶酚胺水平升高	R82.500x005
尿中吲哚乙酸水平升高	R82.500x006
尿中甾类水平升高	R82.500x007
尿中主要为非药用物质的水平异常	R82.600
尿中重金属水平异常	R82.600x001
尿的微生物学检查的异常所见	R82.700
尿的细胞学和组织学检查的异常所见	R82.800
尿的其他和未特指的异常所见	R82.900
黑尿	R82.900x002
结晶尿	R82.900x003
钙尿	R82.901
低比重尿	R82.902
脑脊液酶水平异常	R83.000
脑脊液激素水平异常	R83.100
脑脊液其他药物药剂和生物制剂水平异常	R83.200
脑脊液主要为非药用性物质的水平异常	R83.300
脑脊液异常的免疫学所见	R83.400
脑脊液异常的微生物学所见	R83.500
脑脊液异常的细胞学所见	R83.600
脑脊液异常的组织学所见	R83.700
脑脊液其他异常所见	R83.800
脑脊液异常所见	R83.900
脑脊液异常	R83.900x001
呼吸器官和胸腔标本的酶水平异常	R84.000
呼吸器官和胸腔标本的激素水平异常	R84.100
呼吸器官和胸腔标本的其他药物药剂和生物制剂水平异常	R84.200
呼吸器官和胸腔标本的主要为非药用性物质的水平异常	R84.300
呼吸器官和胸腔标本的异常的免疫学所见	R84.400
呼吸器官和胸腔标本的异常的微生物学所见	R84.500
呼吸器官和胸腔标本的异常的细胞学所见	R84.600
呼吸器官和胸腔标本的异常的组织学所见	R84.700
呼吸器官和胸腔标本的其他异常所见	R84.800
呼吸器官和胸腔标本的异常所见	R84.900
支气管洗出物标本异常	R84.900x001
鼻分泌物标本异常	R84.900x002
胸水标本异常	R84.900x003
痰标本异常	R84.900x004
咽喉刮屑标本异常	R84.900x005
鼻分泌物异常	R84.901
咽喉刮屑异常	R84.902
支气管洗出物异常	R84.903
胸水异常	R84.904
消化器官和腹腔标本的酶水平异常	R85.000
消化器官和腹腔标本的激素水平异常	R85.100
消化器官和腹腔标本的其他药物药剂和生物制剂水平异常	R85.200
消化器官和腹腔标本的主要为非药用性物质的水平异常	R85.300
消化器官和腹腔标本的异常的免疫学所见	R85.400
消化器官和腹腔标本的异常的微生物学所见	R85.500
消化器官和腹腔标本的异常的细胞学所见	R85.600
消化器官和腹腔标本的异常的组织学所见	R85.700
消化器官和腹腔标本的其他异常所见	R85.800
消化器官和腹腔标本的异常所见	R85.900
腹水标本异常	R85.900x001
唾液标本异常	R85.900x002
唾液异常	R85.901
腹水异常	R85.902
男性生殖器官标本的酶水平异常	R86.000
男性生殖器官标本的激素水平异常	R86.100
男性生殖器官标本的其他药物药剂和生物制剂水平异常	R86.200
男性生殖器官标本的主要为非药用性物质的水平异常	R86.300
男性生殖器官标本的异常的免疫学所见	R86.400
男性生殖器官标本的异常的微生物学所见	R86.500
男性生殖器官标本的异常的细胞学所见	R86.600
男性生殖器官标本的异常的组织学所见	R86.700
男性生殖器官标本的其他异常所见	R86.800
男性生殖器官标本的异常所见	R86.900
前列腺分泌物标本异常	R86.900x001
精子标本异常	R86.900x002
精液标本异常	R86.900x003
精子异常	R86.901
前列腺分泌物异常	R86.902
弱精子症	R86.903
女性生殖器官标本的酶水平异常	R87.000
女性生殖器官标本的激素水平异常	R87.100
女性生殖器官标本的其他药物药剂和生物制剂水平异常	R87.200
女性生殖器官标本的主要为非药用性物质的水平异常	R87.300
女性生殖器官标本的异常的免疫学所见	R87.400
女性生殖器官标本的异常的微生物学所见	R87.500
女性生殖器官标本的异常的细胞学所见	R87.600
女性生殖器官标本的异常的组织学所见	R87.700
女性生殖器官标本的其他异常所见	R87.800
女性生殖器官标本的异常所见	R87.900
子宫颈标本异常	R87.900x001
阴道标本异常	R87.900x002
外阴标本异常	R87.900x003
器官系统和组织标本的酶水平异常其他的	R89.000
器官系统和组织标本的激素水平异常其他的	R89.100
器官系统和组织标本的其他药物药剂和生物制剂水平异常其他的	R89.200
器官系统和组织标本的主要为非药用性物质的水平异常其他的	R89.300
器官系统和组织标本的异常的免疫学所见其他的	R89.400
器官系统和组织标本的异常的微生物学所见其他的	R89.500
器官系统和组织标本的异常的细胞学所见其他的	R89.600
器官系统和组织标本的异常的组织学所见其他的	R89.700
器官系统和组织标本的其他异常所见其他的	R89.800
器官系统和组织标本的异常所见其他的	R89.900
乳头流出物标本异常	R89.900x001
滑膜液标本异常	R89.900x002
伤口分泌物标本异常	R89.900x003
颅内占位性病变	R90.000
脑占位性病变	R90.000x002
脑干占位性病变	R90.000x003
中枢神经系统诊断性影像检查的其他异常所见	R90.800
经颅多普勒超声异常	R90.800x001
脑沟增宽	R90.800x003
脑超声波图异常	R90.801
脑缺血灶	R90.803
脑软化灶	R90.804
垂体柄增粗	R90.805
脊髓占位性病变	R90.806
肺诊断性影像检查的异常所见	R91.x00
肺部阴影	R91.x00x001
肺球形阴影	R91.x00x002
肺诊断性影像异常	R91.x00x003
肺门增大	R91.x00x005
