链球菌感染性菌血症	A49.101	{"dummy_term": ["链球菌", "感染性", "菌血症"]}
瞳孔闭合	H21.402	{"1_region_term": ["瞳孔"], "dummy_term": ["闭合"]}
继发性糖尿病大血管病变	E13.500x241+I79.2*	{"1_region_term": ["大血管"], "dummy_term": ["继发性", "糖尿病"], "3_disease_term": ["病变"]}
潜伏性晚期先天性梅毒	A50.600	{"dummy_term": ["潜伏性", "晚期", "先天性", "梅毒"]}
梭形细胞脂肪瘤	M88570/0	{"dummy_term": ["梭", "形", "细胞", "脂肪瘤"]}
恶性男性母细胞瘤	M86300/3	{"dummy_term": ["恶性", "母细胞"], "5_others_term": ["男性"], "3_disease_term": ["瘤"]}
上消化道其他特指的先天性畸形	Q40.800	{"1_region_term": ["上消化道"], "dummy_term": ["其他", "特指", "的", "先天性"], "3_disease_term": ["畸形"]}
激素类及其合成代用品中毒	T38.801	{"dummy_term": ["激素类", "及其", "合成", "代用品", "中毒"]}
矿物质盐类的有害效应不可归类在他处者	Y54.900	{"dummy_term": ["矿物质", "盐类", "的", "有害", "效应", "不可", "归类", "在", "他", "处", "者"]}
2型糖尿病性足坏疽	E11.500x044	{"1_region_term": ["足"], "dummy_term": ["2", "型", "糖尿病", "性", "坏疽"]}
心脏继发恶性肿瘤	C79.808	{"1_region_term": ["心脏"], "dummy_term": ["继发", "恶性肿瘤"]}
老年性角化病	L57.002	{"dummy_term": ["老年性", "角化", "病"]}
致幻剂非成瘾性滥用	F16.100x002	{"dummy_term": ["致幻剂", "非", "成瘾性", "滥用"]}
股骨继发恶性肿瘤	C79.500x010	{"1_region_term": ["股骨"], "dummy_term": ["继发", "恶性肿瘤"]}
游泳者痉挛	T75.100x002	{"dummy_term": ["游泳", "者", "痉挛"]}
盲肠憩室炎	K57.305	{"1_region_term": ["盲肠"], "dummy_term": ["憩", "室", "炎"]}
唇疾病	K13.000	{"1_region_term": ["唇"], "dummy_term": ["疾病"]}
产后子痫	O15.201	{"dummy_term": ["产", "后", "子痫"]}
1型糖尿病性增殖性玻璃体出血性视网膜病	E10.300x034+H36.0*	{"1_region_term": ["玻璃体", "视网膜"], "dummy_term": ["1", "型", "糖尿病", "性", "增殖性", "病"], "3_disease_term": ["出血性"]}
儿童周期性综合征	G43.804	{"dummy_term": ["周期性", "综合征"], "5_others_term": ["儿童"]}
恶性莱迪细胞瘤	M86500/3	{"dummy_term": ["恶性", "莱", "迪", "细胞"], "3_disease_term": ["瘤"]}
胆总管胃瘘	K83.303	{"1_region_term": ["胆总管", "胃"], "3_disease_term": ["瘘"]}
慢性庚型肝炎	B18.818	{"dummy_term": ["慢性", "庚", "型", "肝炎"]}
背部三度腐蚀伤	T21.700x042	{"1_region_term": ["背部"], "dummy_term": ["三度", "腐蚀", "伤"]}
糖尿病伴并发症其他特指的	E13.800	{"dummy_term": ["糖尿病", "伴", "并发症", "其他", "特指", "的"]}
全结肠切除术后状态	Z90.404	{"1_region_term": ["全结肠"], "dummy_term": ["状态"], "5_others_term": ["切除术后"]}
慢性后天性纯红细胞再生障碍	D60.000	{"dummy_term": ["慢性", "后天性", "纯", "红细胞", "再生", "障碍"]}
颅骨恶性肿瘤	C41.000x018	{"1_region_term": ["颅骨"], "dummy_term": ["恶性肿瘤"]}
泌尿生殖系疾病的特殊筛查	Z13.800x051	{"1_region_term": ["生殖系"], "dummy_term": ["泌尿", "疾病", "的", "特殊", "筛查"]}
孕29周	O26.900x404	{"dummy_term": ["孕", "29周"]}
腹部瘢痕修复	Z42.202	{"1_region_term": ["腹部"], "dummy_term": ["修复"], "3_disease_term": ["瘢痕"]}
枕骨良性肿瘤	D16.407	{"dummy_term": ["枕骨", "良性肿瘤"]}
阿克森费尔德因异常	Q15.001	{"dummy_term": ["阿克", "森", "费尔德", "因", "异常"]}
病毒性角膜溃疡	H16.000x001	{"1_region_term": ["角膜"], "dummy_term": ["病毒性", "溃疡"]}
放射性肺纤维化	J70.101	{"dummy_term": ["放射性", "肺纤维化"]}
分类于他处的疾病引起的主动脉炎	I79.1*	{"dummy_term": ["分类", "于", "他", "处", "的", "疾病", "引起", "的", "主", "动脉炎"]}
眼球的其他变性性疾患	H44.300	{"1_region_term": ["眼球"], "dummy_term": ["的", "其他", "变性", "性", "疾患"]}
哺乳期的监督	Z39.100x001	{"dummy_term": ["哺乳期", "的", "监督"]}
先天性脑动静脉瘘	Q28.203	{"1_region_term": ["脑", "动静脉瘘"], "dummy_term": ["先天性"]}
毛细胞白血病伴缓解	C91.400x013	{"dummy_term": ["毛细胞", "白血病", "伴", "缓解"]}
胰头损伤	S36.200x011	{"1_region_term": ["胰头"], "3_disease_term": ["损伤"]}
慢性阻塞性肺病伴有急性下呼吸道感染	J44.000	{"dummy_term": ["慢性", "阻塞性", "肺病", "伴有", "急性", "下", "呼吸道", "感染"]}
膀胱乙状结肠瘘	N32.103	{"1_region_term": ["膀胱", "乙状结肠"], "3_disease_term": ["瘘"]}
尺骨结核	A18.018+M90.0*	{"dummy_term": ["尺", "骨结核"]}
膝韧带囊肿	M23.809	{"1_region_term": ["膝", "韧带"], "3_disease_term": ["囊肿"]}
膀胱静脉曲张	I86.201	{"1_region_term": ["膀胱"], "3_disease_term": ["静脉曲张"]}
膝和小腿冻伤伴有组织坏死	T34.700	{"1_region_term": ["膝", "小腿"], "dummy_term": ["和", "冻伤", "伴有", "坏死"], "5_others_term": ["组织"]}
尿道溢液	R36.x01	{"1_region_term": ["尿道"], "dummy_term": ["溢", "液"]}
疣状癌	M80510/3	{"dummy_term": ["疣", "状", "癌"]}
后天性耳廓畸形	H61.100x002	{"1_region_term": ["耳廓"], "dummy_term": ["后天性"], "3_disease_term": ["畸形"]}
咽原位癌	D00.007	{"1_region_term": ["咽"], "dummy_term": ["原位癌"]}
大脑镰脑膜瘤	D32.000x004	{"1_region_term": ["大脑镰脑膜"], "3_disease_term": ["瘤"]}
腺鳞癌	M85600/3	{"dummy_term": ["腺", "鳞癌"]}
视网膜劈裂症及视网膜囊肿	H33.100	{"1_region_term": ["视网膜", "视网膜"], "dummy_term": ["劈裂", "症", "及"], "3_disease_term": ["囊肿"]}
胆道诊断性影像异常	R93.200x002	{"1_region_term": ["胆道"], "dummy_term": ["影像", "异常"], "5_others_term": ["诊断性"]}
下肢血栓性静脉炎	I80.302	{"1_region_term": ["下肢"], "dummy_term": ["静脉炎"], "3_disease_term": ["血栓性"]}
大腿纤维瘤病	M72.914	{"1_region_term": ["大腿"], "dummy_term": ["纤维瘤", "病"]}
阴囊和睾丸开放性伤口	S31.300	{"1_region_term": ["阴囊", "睾丸"], "dummy_term": ["和"], "3_disease_term": ["开放性", "伤口"]}
操作后胸腔感染	T81.400x009	{"1_region_term": ["胸腔"], "dummy_term": ["后", "感染"], "5_others_term": ["操作"]}
气压和水压的其他效应	T70.800	{"dummy_term": ["气压", "和", "水压", "的", "其他", "效应"]}
脊髓前动脉瘤	I72.800x121	{"1_region_term": ["脊髓"], "dummy_term": ["前"], "3_disease_term": ["动脉瘤"]}
臀位分娩新生儿	P03.001	{"dummy_term": ["臀", "位", "分娩", "新生儿"]}
兴奋躁动状态	F30.901	{"dummy_term": ["兴奋", "躁动", "状态"]}
腹膜透析装置并发症	T85.901	{"dummy_term": ["装置", "并发症"], "2_operation_term": ["腹膜透析"]}
低心排综合征	I50.900x001	{"1_region_term": ["心"], "dummy_term": ["低", "排", "综合征"]}
单纯型精神分裂症	F20.600	{"dummy_term": ["单纯", "型", "精神分裂症"]}
鼻咽淋巴组织增生	J39.225	{"1_region_term": ["鼻咽", "淋巴"], "dummy_term": ["增生"], "5_others_term": ["组织"]}
滤泡性脓疱病	L01.005	{"dummy_term": ["滤泡", "性", "脓疱", "病"]}
颞部挫伤	S00.800x056	{"dummy_term": ["颞", "部", "挫伤"]}
髋部浅表冻伤	T33.600x002	{"dummy_term": ["髋部", "浅表", "冻伤"]}
肿瘤病引起的主要影响中枢神经系统的其他全身性萎缩	G13.1*	{"1_region_term": ["全身性"], "dummy_term": ["肿瘤", "病", "引起", "的", "主要", "影响", "中枢神经", "系统", "的", "其他"], "3_disease_term": ["萎缩"]}
新生儿暂时性钙代谢紊乱	P71.902	{"dummy_term": ["新生儿", "钙", "代谢", "紊乱"], "5_others_term": ["暂时性"]}
非特异反应性肝炎	K75.200	{"dummy_term": ["非特异", "反应", "性肝炎"]}
心脏和血管装置植入物和移植物引起的感染和炎症性反应其他的	T82.700	{"1_region_term": ["心脏", "血管"], "dummy_term": ["和", "装置", "和", "引起", "的", "感染", "和", "炎症性", "反应", "其他", "的"], "2_operation_term": ["移植物"], "4_implant_term": ["植入物"]}
陈旧性双踝骨折	T93.200x007	{"1_region_term": ["踝骨"], "dummy_term": ["陈旧性", "折"], "5_others_term": ["双"]}
深层角膜炎	H16.301	{"dummy_term": ["深层", "角膜炎"]}
无脉络膜症	H31.200x002	{"1_region_term": ["脉络膜"], "dummy_term": ["无", "症"]}
经剖宫产术分娩	O82.900	{"dummy_term": ["经", "分娩"], "2_operation_term": ["剖宫产术"]}
肠系膜上动脉压迫综合征	K55.105	{"1_region_term": ["肠系膜上动脉"], "dummy_term": ["压迫", "综合征"]}
先天性胸骨裂	Q76.700x201	{"1_region_term": ["胸骨"], "dummy_term": ["先天性"], "3_disease_term": ["裂"]}
神经源性膀胱	N31.901	{"1_region_term": ["神经", "膀胱"], "dummy_term": ["源", "性"]}
髋关节前脱位	S73.000x021	{"1_region_term": ["髋关节"], "dummy_term": ["前"], "3_disease_term": ["脱位"]}
空肠恶性肿瘤	C17.100	{"1_region_term": ["空肠"], "dummy_term": ["恶性肿瘤"]}
移植皮肤排斥反应	T86.806	{"1_region_term": ["皮肤"], "dummy_term": ["排斥", "反应"], "2_operation_term": ["移植"]}
肝静脉血栓形成	I82.001	{"1_region_term": ["肝静脉"], "dummy_term": ["形成"], "3_disease_term": ["血栓"]}
特纳综合征的其他变型	Q96.800	{"dummy_term": ["特纳", "综合征", "的", "其他", "变型"]}
乙肝恢复期	Z54.800x008	{"dummy_term": ["乙肝", "恢复期"]}
手术后会阴部静脉回流障碍	I97.802	{"1_region_term": ["静脉"], "dummy_term": ["会阴部", "回流", "障碍"], "5_others_term": ["手术后"]}
骨结核病	A18.000x035+M90.0*	{"dummy_term": ["骨结核", "病"]}
头部诊断性检查异常	R93.000x002	{"1_region_term": ["头部"], "dummy_term": ["异常"], "2_operation_term": ["检查"], "5_others_term": ["诊断性"]}
腭骨囊肿	K09.100x001	{"1_region_term": ["腭", "骨"], "3_disease_term": ["囊肿"]}
先天性主动脉扩张	Q25.406	{"1_region_term": ["主动脉"], "dummy_term": ["先天性"], "3_disease_term": ["扩张"]}
产前出血	O46.900	{"dummy_term": ["出", "血"], "5_others_term": ["产前"]}
肺出血	R04.802	{"dummy_term": ["肺出血"]}
浸润性导管和胶样癌	M85233/3	{"dummy_term": ["浸润性", "和", "胶", "样", "癌"], "4_implant_term": ["导管"]}
嗜酸性粒细胞性腹膜炎	K65.807	{"dummy_term": ["嗜", "酸性", "粒细胞", "性", "腹膜炎"]}
与环境污染有关的情况	Y97.x00	{"dummy_term": ["与", "环境污染", "有关", "的", "情况"]}
溶血尿毒症综合征	D59.300	{"dummy_term": ["溶血", "尿毒症", "综合征"]}
眼球恶性肿瘤	C69.402	{"1_region_term": ["眼球"], "dummy_term": ["恶性肿瘤"]}
诊断性制剂的有害效应其他的	Y57.600	{"dummy_term": ["制剂", "的", "有害", "效应", "其他", "的"], "5_others_term": ["诊断性"]}
拇指开放性损伤伴指甲损伤	S61.100x002	{"1_region_term": ["拇指"], "dummy_term": ["伴", "指甲"], "3_disease_term": ["开放性", "损伤", "损伤"]}
下肢三度腐蚀伤	T24.700x003	{"1_region_term": ["下肢"], "dummy_term": ["三度", "腐蚀", "伤"]}
多发性大脑动脉闭塞	I66.401	{"1_region_term": ["大脑", "动脉"], "dummy_term": ["多发性", "闭塞"]}
弹性组织瘤	Q82.809	{"dummy_term": ["弹性"], "5_others_term": ["组织"], "3_disease_term": ["瘤"]}
角膜移植状态	Z94.700	{"1_region_term": ["角膜"], "dummy_term": ["状态"], "2_operation_term": ["移植"]}
多胎产	Z37.900x001	{"dummy_term": ["多胎", "产"]}
糖尿病伴有周围循环并发症其他特指的	E13.500	{"dummy_term": ["糖尿病", "伴有", "循环", "并发症", "其他", "特指", "的"], "5_others_term": ["周围"]}
高白细胞白血病伴缓解	C95.700x011	{"dummy_term": ["高", "白细胞", "白血病", "伴", "缓解"]}
交通事故中重型运输车与其他和机动车辆碰撞造成重型运输车乘员的损伤	V69.600	{"dummy_term": ["交通事故", "中重型", "运输车", "与", "其他", "和", "机动车辆", "碰撞", "造成", "重型", "运输车", "乘员", "的"], "3_disease_term": ["损伤"]}
狼疮性脂膜炎	L93.201	{"dummy_term": ["狼疮性", "脂", "膜炎"]}
衣原体腹膜炎	A74.801+K67.0*	{"dummy_term": ["衣原体", "腹膜炎"]}
重度宫颈发育不良不可归类在他处者	N87.200	{"1_region_term": ["宫颈"], "dummy_term": ["重度", "发育不良", "不可", "归类", "在", "他", "处", "者"]}
胆管良性肿瘤	D13.500x001	{"1_region_term": ["胆管"], "dummy_term": ["良性肿瘤"]}
上肢包括肩恶性黑色素瘤	C43.600	{"1_region_term": ["上肢", "肩"], "dummy_term": ["包括", "恶性", "黑色素瘤"]}
绿甲综合征	L60.800x016	{"1_region_term": ["甲"], "dummy_term": ["绿", "综合征"]}
颅内静脉系统的非脓性血栓形成	I67.600	{"1_region_term": ["颅内静脉"], "dummy_term": ["系统", "的", "非", "脓", "性", "形成"], "3_disease_term": ["血栓"]}
女性原发性不育	N97.901	{"dummy_term": ["原发性", "不育"], "5_others_term": ["女性"]}
乳腺中外象限恶性肿瘤	C50.800x003	{"1_region_term": ["乳腺"], "dummy_term": ["中外", "象限", "恶性肿瘤"]}
儿童期精神症	F84.002	{"dummy_term": ["精神", "症"], "5_others_term": ["儿童期"]}
下肢肌腱损伤	T13.502	{"1_region_term": ["下肢肌腱"], "3_disease_term": ["损伤"]}
梅毒个人史	Z86.103	{"dummy_term": ["梅毒", "个人", "史"]}
双上肢多发性骨折	T02.400x001	{"1_region_term": ["上肢"], "dummy_term": ["多发性"], "5_others_term": ["双"], "3_disease_term": ["骨折"]}
毁胎手术分娩	O83.400	{"dummy_term": ["毁", "胎", "分娩"], "2_operation_term": ["手术"]}
胃溃疡伴急性穿孔	K25.100x001	{"1_region_term": ["胃溃疡"], "dummy_term": ["伴", "急性"], "3_disease_term": ["穿孔"]}
热和光的效应	T67.900	{"dummy_term": ["热", "和", "光", "的", "效应"]}
可传播性海绵状脑病	A81.000x004	{"dummy_term": ["可", "传播", "性", "海绵状", "脑病"]}
血液铁异常	R79.000x003	{"dummy_term": ["铁", "异常"], "5_others_term": ["血液"]}
2型糖尿病性自主神经病变	E11.402+G99.0*	{"dummy_term": ["2", "型", "糖尿病", "性", "自主神经"], "3_disease_term": ["病变"]}
妊娠期血栓性浅静脉炎	O22.200	{"dummy_term": ["妊娠期", "浅", "静脉炎"], "3_disease_term": ["血栓性"]}
冲击波性失明	S05.812	{"dummy_term": ["性", "失明"], "5_others_term": ["冲击波"]}
膝关节强硬	M24.607	{"1_region_term": ["膝关节"], "dummy_term": ["强硬"]}
垂体功能亢进	E22.900	{"1_region_term": ["垂体"], "dummy_term": ["功能", "亢进"]}
后天性锤状趾其他的	M20.400	{"dummy_term": ["后天性", "其他", "的"], "3_disease_term": ["锤状趾"]}
咽蜂窝织炎	J39.101	{"1_region_term": ["咽"], "dummy_term": ["蜂窝", "织", "炎"]}
支气管结核初治药物敏感涂阳培阳	A15.500x018	{"1_region_term": ["支气管"], "dummy_term": ["结核", "初", "治", "敏感", "涂", "阳", "培", "阳"], "5_others_term": ["药物"]}
化学预防	Z29.200x001	{"dummy_term": ["化学", "预防"]}
操作中环杓关节脱位	T81.800x013	{"1_region_term": ["环杓关节"], "5_others_term": ["操作", "中"], "3_disease_term": ["脱位"]}
细支气管恶性肿瘤	C34.902	{"1_region_term": ["支气管"], "dummy_term": ["细", "恶性肿瘤"]}
屈光不正	H52.701	{"dummy_term": ["屈光", "不正"]}
鼻腔原位癌	D02.301	{"1_region_term": ["鼻腔"], "dummy_term": ["原位癌"]}
急性声门下喉炎	J04.000x006	{"dummy_term": ["急性", "声", "门下", "喉炎"]}
足屈肌腱自发性破裂	M66.309	{"1_region_term": ["足屈肌腱"], "dummy_term": ["自发性"], "3_disease_term": ["破裂"]}
输注反应	T80.900x003	{"dummy_term": ["反应"], "2_operation_term": ["输注"]}
心脏和血管假体装置植入物和移植物引起的栓塞	T82.800x101	{"1_region_term": ["心脏", "血管"], "dummy_term": ["和", "和", "引起", "的", "栓塞"], "2_operation_term": ["移植物"], "4_implant_term": ["假体装置", "植入物"]}
炎性脊椎病其他特指的	M46.800	{"1_region_term": ["脊椎"], "dummy_term": ["炎", "性", "病", "其他", "特指", "的"]}
腋部周围神经和自主神经恶性肿瘤	C47.300x002	{"1_region_term": ["周围神经"], "dummy_term": ["腋", "部", "和", "自主神经", "恶性肿瘤"]}
肝胆管交界性肿瘤	D37.600x004	{"1_region_term": ["肝胆管"], "dummy_term": ["交界", "性", "肿瘤"]}
低颅压综合征	G93.401	{"dummy_term": ["低", "颅", "压", "综合征"]}
脑占位性病变	R90.000x002	{"1_region_term": ["脑"], "dummy_term": ["占位", "性病变"]}
糖尿病伴血糖控制不佳	E14.600x051	{"dummy_term": ["糖尿病", "伴", "血糖", "控制", "不", "佳"]}
体表小于10%的腐蚀伤	T32.000x001	{"dummy_term": ["体表", "小于", "10", "%", "的", "腐蚀", "伤"]}
低比重尿	R82.902	{"dummy_term": ["低", "比重", "尿"]}
新生儿肠侵袭性大肠杆菌肠炎	A04.200x002	{"1_region_term": ["肠"], "dummy_term": ["新生儿", "侵袭", "性", "大肠杆菌", "肠炎"]}
贾菲利希滕斯坦尤林格综合征	M85.002	{"dummy_term": ["贾", "菲利", "希", "滕斯坦", "尤", "林", "格", "综合征"]}
卵巢包涵囊肿	N83.203	{"1_region_term": ["卵巢"], "dummy_term": ["包涵"], "3_disease_term": ["囊肿"]}
血管瘤病	Q82.800x015	{"dummy_term": ["血管瘤", "病"]}
肢体动脉粥样硬化伴溃疡	I70.200x031	{"1_region_term": ["肢体动脉"], "dummy_term": ["粥样", "硬化", "伴", "溃疡"]}
腹膜后淋巴瘤	C85.900x009	{"1_region_term": ["腹膜后"], "dummy_term": ["淋巴瘤"]}
臀先露难产	O64.101	{"dummy_term": ["臀", "先露", "难产"]}
症状性精神病	F09.x00x004	{"dummy_term": ["症状", "性", "精神病"]}
十二指肠狭窄	K31.501	{"1_region_term": ["十二指肠"], "3_disease_term": ["狭窄"]}
主要影响心血管系统制剂中毒	T46.901	{"dummy_term": ["主要", "影响", "心血管", "系统", "制剂", "中毒"]}
内分泌营养和代谢疾病个人史	Z86.300	{"dummy_term": ["内分泌", "和", "代谢", "疾病", "个人", "史"], "2_operation_term": ["营养"]}
黏膜型孢子丝菌病	B42.100x003	{"dummy_term": ["黏膜", "型", "孢子", "丝", "菌", "病"]}
肺嗜酸性粒细胞增多症	J82.x00x001	{"1_region_term": ["肺"], "dummy_term": ["嗜", "酸性", "粒细胞", "增多", "症"]}
1型糖尿病性急性皮肤坏疽	E10.500x045	{"1_region_term": ["皮肤"], "dummy_term": ["1", "型", "糖尿病", "性", "急性", "坏疽"]}
产程和分娩并发胎儿心率异常	O68.000	{"dummy_term": ["产程", "和", "分娩", "并发", "心率", "异常"], "5_others_term": ["胎儿"]}
四肢皮脂腺囊肿	L72.104	{"dummy_term": ["四肢", "皮脂腺"], "3_disease_term": ["囊肿"]}
开放性腓骨骨折	S82.410	{"1_region_term": ["腓骨"], "3_disease_term": ["开放性", "骨折"]}
髌骨的其他紊乱	M22.300	{"1_region_term": ["髌骨"], "dummy_term": ["的", "其他", "紊乱"]}
具有其他骨和腱的植入物	Z96.700	{"1_region_term": ["骨", "腱"], "dummy_term": ["具有", "其他", "和", "的"], "4_implant_term": ["植入物"]}
下肢动脉闭塞	I74.300x030	{"1_region_term": ["下肢动脉"], "dummy_term": ["闭塞"]}
肝管蛔虫病	B77.800x002	{"1_region_term": ["肝管"], "dummy_term": ["蛔虫病"]}
毛发红糠疹	L44.000	{"dummy_term": ["毛", "发红", "糠疹"]}
分类于他处的疾病引起的帕金森综合征	G22*	{"dummy_term": ["分类", "于", "他", "处", "的", "疾病", "引起", "的", "帕金森", "综合征"]}
脑膜性脑脊膜瘤	M95310/0	{"1_region_term": ["脑膜", "脑脊膜"], "dummy_term": ["性"], "3_disease_term": ["瘤"]}
伤及骨盆关节和韧带的产科损害	O71.600	{"1_region_term": ["骨盆", "关节", "韧带"], "dummy_term": ["伤及", "和", "的", "损害"], "5_others_term": ["产科"]}
上颌窦肉芽肿	J32.000x005	{"1_region_term": ["上颌窦"], "3_disease_term": ["肉芽肿"]}
感染性心内膜炎	I33.000x004	{"dummy_term": ["感染性", "心内膜炎"]}
安装和调整其他特指装置的	Z46.800	{"dummy_term": ["和", "调整", "其他", "特指", "装置", "的"], "2_operation_term": ["安装"]}
眼动脉缺血	H34.000x001	{"1_region_term": ["眼", "动脉"], "dummy_term": ["缺血"]}
右主支气管恶性肿瘤	C34.000x003	{"1_region_term": ["支气管"], "dummy_term": ["右", "主", "恶性肿瘤"]}
后天性胸腺缺失	E89.802	{"1_region_term": ["胸腺"], "dummy_term": ["后天性", "缺失"]}
静脉疾患	I87.900	{"1_region_term": ["静脉"], "dummy_term": ["疾患"]}
良性上皮肿瘤	M80100/0	{"dummy_term": ["良性", "上皮", "肿瘤"]}
上颌后缩下颌前突	K07.100x014	{"dummy_term": ["上颌后缩", "下颌前突"]}
梅毒感染后关节病	M03.1*	{"dummy_term": ["梅毒", "感染", "后", "关节病"]}
桡骨结核	A18.017+M90.0*	{"1_region_term": ["桡骨"], "dummy_term": ["结核"]}
子宫囊肿	N85.813	{"1_region_term": ["子宫"], "3_disease_term": ["囊肿"]}
束支折返性室性心动过速	I47.200x008	{"dummy_term": ["束", "支", "折返", "性", "室", "性", "心动过速"]}
新生儿黄疸	P59.900	{"dummy_term": ["新生儿", "黄疸"]}
巨噬细胞肌筋膜炎	M60.903	{"1_region_term": ["肌", "筋膜"], "dummy_term": ["巨噬细胞", "炎"]}
青少年疱疹样皮炎	L12.201	{"dummy_term": ["青少年", "疱疹", "样", "皮炎"]}
脊髓完全损伤	T09.300x003	{"1_region_term": ["脊髓"], "dummy_term": ["完全"], "3_disease_term": ["损伤"]}
2型糖尿病性股神经病	E11.400x160+G59.0*	{"dummy_term": ["2", "型", "糖尿病", "性", "股", "神经病"]}
帕西尼瘤	M95070/0	{"dummy_term": ["帕西", "尼"], "3_disease_term": ["瘤"]}
髌前囊炎	M70.400	{"dummy_term": ["髌", "前", "囊", "炎"]}
输卵管出血	N83.601	{"1_region_term": ["输卵管"], "dummy_term": ["出", "血"]}
与迷信巫术相关的精神障碍	F43.803	{"dummy_term": ["与", "迷信", "巫术", "相关", "的", "精神障碍"]}
婴儿型腹部绞痛	R10.400x004	{"1_region_term": ["腹部"], "dummy_term": ["婴儿", "型", "绞痛"]}
淋球菌性腱鞘炎	A54.405+M68.0*	{"dummy_term": ["淋球菌", "性", "腱鞘炎"]}
化脓性横窦血栓形成	G08.x00x009	{"dummy_term": ["化脓性", "横", "形成"], "3_disease_term": ["窦", "血栓"]}
精神性聋	R48.800x005	{"dummy_term": ["精神性", "聋"]}
颅骨交界性肿瘤	D48.000x002	{"1_region_term": ["颅骨"], "dummy_term": ["交界", "性", "肿瘤"]}
头面和颈部结缔组织和软组织恶性肿瘤	C49.000	{"1_region_term": ["颈部", "软组织"], "dummy_term": ["头面", "和", "结缔组织", "和", "恶性肿瘤"]}
痉挛性截瘫	G82.100	{"dummy_term": ["痉挛性", "截瘫"]}
先天性二尖瓣腱索过长	Q23.803	{"1_region_term": ["二尖瓣", "腱索"], "dummy_term": ["先天性", "过长"]}
颌骨骨质增生	K10.800x006	{"1_region_term": ["颌骨"], "dummy_term": ["骨质增生"]}
为盆腔器官异常给予的孕产妇医疗	O34.900	{"1_region_term": ["盆腔"], "dummy_term": ["为", "器官", "异常", "给予", "的", "孕产妇", "医疗"]}
蠕形螨病	B88.000x003	{"dummy_term": ["蠕", "形", "螨", "病"]}
间歇性闭角型青光眼	H40.204	{"dummy_term": ["间歇性", "闭", "角", "型"], "5_others_term": ["青光眼"]}
急性下壁侧壁正后壁再发心肌梗死	I22.800x007	{"dummy_term": ["急性", "下", "壁", "侧壁", "正", "后", "壁", "再", "发", "心肌梗死"]}
分娩伴子宫壁血肿	O71.800x002	{"dummy_term": ["分娩", "伴", "子", "宫壁"], "3_disease_term": ["血肿"]}
职业性暴露于其他危险因素	Z57.800	{"dummy_term": ["暴露", "于", "其他", "危险", "因素"], "5_others_term": ["职业性"]}
中枢神经系统的非典型病毒感染	A81.900	{"dummy_term": ["中枢神经", "系统", "的", "非典型", "病毒感染"]}
室间隔动脉瘤	I25.300x005	{"1_region_term": ["室间隔"], "3_disease_term": ["动脉瘤"]}
肱二头肌长头肌肉损伤	S46.100x001	{"1_region_term": ["肱二头肌", "肌肉"], "dummy_term": ["长", "头"], "3_disease_term": ["损伤"]}
妊娠合并输卵管囊肿	O34.800x021	{"1_region_term": ["输卵管"], "dummy_term": ["妊娠", "合", "并"], "3_disease_term": ["囊肿"]}
食入毒蘑菇中毒	T62.001	{"dummy_term": ["食", "入", "毒蘑菇", "中毒"]}
全身性癫痫和癫痫综合征其他的	G40.400	{"1_region_term": ["全身性"], "dummy_term": ["癫痫", "和", "癫痫", "综合征", "其他", "的"]}
类风湿性关节炎伴心炎	M05.304+I52.8*	{"1_region_term": ["心"], "dummy_term": ["类", "风湿性关节炎", "伴", "炎"]}
交感神经继发恶性肿瘤	C79.400x021	{"1_region_term": ["交感神经"], "dummy_term": ["继发", "恶性肿瘤"]}
肯尼迪病	G12.801	{"dummy_term": ["肯尼迪", "病"]}
新生儿天疱疮	L00.x01	{"dummy_term": ["新生儿", "天疱疮"]}
软骨营养障碍	Q78.900x001	{"1_region_term": ["软骨"], "dummy_term": ["营养障碍"]}
输卵管异位	Q50.600x903	{"1_region_term": ["输卵管"], "3_disease_term": ["异位"]}
三轮机动车乘员在其他特指运输事故中的损伤	V39.800	{"dummy_term": ["三轮", "机动车", "乘员", "在", "其他", "特指", "运输", "事故", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
子宫多发性平滑肌瘤	D25.900x001	{"1_region_term": ["子宫"], "dummy_term": ["多发性", "平滑", "肌瘤"]}
激素失调	E34.900x003	{"dummy_term": ["激素", "失调"]}
肾病综合征膜增殖性肾小球肾炎Ⅱ型	N04.601	{"dummy_term": ["肾病", "综合征", "膜", "增殖性", "肾小球", "肾炎", "Ⅱ", "型"]}
先天性房室瓣骑跨	Q24.800x011	{"dummy_term": ["先天性", "房室", "瓣", "骑", "跨"]}
高β脂蛋白血症伴前β脂蛋白血症	E78.200x009	{"dummy_term": ["高", "β", "脂蛋白", "血症", "伴", "前", "β", "脂蛋白", "血症"]}
平山病	G12.802	{"dummy_term": ["平山", "病"]}
操作的并发症	T81.900	{"dummy_term": ["的", "并发症"], "5_others_term": ["操作"]}
牙酸蚀病	K03.200x002	{"1_region_term": ["牙"], "dummy_term": ["酸", "蚀", "病"]}
幽门狭窄	K31.104	{"1_region_term": ["幽门"], "3_disease_term": ["狭窄"]}
慢性缺血性心脏病其他类型的	I25.800	{"dummy_term": ["慢性", "缺血性", "心脏病", "其他", "类型", "的"]}
上肢肌肉和肌腱损伤后遗症	T92.500	{"1_region_term": ["上肢肌肉", "肌腱"], "dummy_term": ["和", "后遗症"], "3_disease_term": ["损伤"]}
