链球菌感染性菌血症	A49.101	{"dummy_term": ["链球菌", "感染性", "菌血症"]}
挥发性溶剂其他精神和行为障碍	F18.8	{"dummy_term": ["挥发性", "溶剂", "其他", "精神", "和", "行为障碍"]}
完全性流产，其他的，并发栓塞	O05.700	{"dummy_term": ["流产", ",", "其他", "的", ",", "并发", "栓塞"], "5_others_term": ["完全性"]}
使用阿片类物质引起的戒断状态	F11.300	{"dummy_term": ["使用", "阿片类", "物质", "引起", "的", "戒断", "状态"]}
与不排卵有关的女性不孕症	N97.000	{"dummy_term": ["与", "不", "排卵", "有关", "的", "不孕症"], "5_others_term": ["女性"]}
胃沙漏状狭窄及缩窄	K31.200	{"1_region_term": ["胃"], "dummy_term": ["沙漏", "状", "及", "缩", "窄"], "3_disease_term": ["狭窄"]}
腰神经根炎	M54.103	{"1_region_term": ["腰", "神经"], "dummy_term": ["根", "炎"]}
交通事故中专用工业车辆上的司机的损伤	V83.000	{"dummy_term": ["交通事故", "中专", "用", "工业", "车辆", "上", "的", "司机", "的"], "3_disease_term": ["损伤"]}
海绵体恶性肿瘤	C60.201	{"dummy_term": ["海绵体", "恶性肿瘤"]}
脊椎关节强硬引起的神经根和神经丛压迫(M47.-+)	G55.2*	{"1_region_term": ["脊椎", "关节", "神经", "神经"], "dummy_term": ["强硬", "引起", "的", "根", "和", "丛", "压迫", "(", "M", "-", "+", ")"]}
脉络膜继发恶性肿瘤	C79.409	{"1_region_term": ["脉络膜"], "dummy_term": ["继发", "恶性肿瘤"]}
气管周围脓肿	J39.803	{"1_region_term": ["气管"], "5_others_term": ["周围"], "3_disease_term": ["脓肿"]}
后天性爪形手、畸形手、爪形足和畸形足	M21.500	{"1_region_term": ["手", "手", "足"], "dummy_term": ["后天性", "爪", "形", ",", ",", "爪", "形", "和"], "3_disease_term": ["畸形", "畸形足"]}
窥淫症	F65.300	{"dummy_term": ["窥", "淫", "症"]}
内分泌腺其他和未特指的良性肿瘤	D35	{"dummy_term": ["内分泌腺", "其他", "和", "未", "特指", "的", "良性肿瘤"]}
血吸虫病个人史	Z86.102	{"dummy_term": ["血吸虫病", "个人", "史"]}
指关节僵硬	M25.605	{"1_region_term": ["指关节"], "dummy_term": ["僵硬"]}
眼眶骨膜炎	H05.005	{"1_region_term": ["眼眶"], "dummy_term": ["骨膜炎"]}
中枢性呼吸衰竭	G93.812	{"dummy_term": ["中枢性", "呼吸衰竭"]}
挥发性溶剂残留性和迟发性精神病性障碍	F18.7	{"dummy_term": ["挥发性", "溶剂", "性", "和", "迟发性", "精神病", "性障碍"], "3_disease_term": ["残留"]}
异位睾丸恶性肿瘤	C62.001	{"1_region_term": ["睾丸"], "dummy_term": ["恶性肿瘤"], "3_disease_term": ["异位"]}
极重度精神发育迟缓	F73	{"dummy_term": ["极", "重度", "精神", "发育", "迟缓"]}
二-尖(瓣)脱垂	I34.1	{"dummy_term": ["二", "-", "尖", "(", "瓣", ")"], "3_disease_term": ["脱垂"]}
氨基糖甙类中毒	T36.500	{"dummy_term": ["氨基糖", "甙", "类", "中毒"]}
第一掌骨骨折	S62.200	{"1_region_term": ["掌骨"], "dummy_term": ["第一"], "3_disease_term": ["骨折"]}
单克隆丙球蛋白病	D47.2	{"dummy_term": ["单克隆", "丙", "球蛋白", "病"]}
骨盆血管损伤	S35.902	{"1_region_term": ["骨盆", "血管"], "3_disease_term": ["损伤"]}
瓣膜置换术后心脏功能衰竭	I97.101	{"1_region_term": ["心脏"], "dummy_term": ["后", "功能", "衰竭"], "2_operation_term": ["置换术"], "5_others_term": ["瓣膜"]}
未特指的皮肤恶性黑色素瘤	C43.9	{"1_region_term": ["皮肤"], "dummy_term": ["未", "特指", "的", "恶性", "黑色素瘤"]}
髋部肿物	R22.402	{"dummy_term": ["髋部", "肿物"]}
主动脉脓肿	I77.806	{"1_region_term": ["主动脉"], "3_disease_term": ["脓肿"]}
抑郁性精神病	F32.301	{"dummy_term": ["抑郁", "性", "精神病"]}
周期性精神病	F23.002	{"dummy_term": ["周期性", "精神病"]}
多关节炎	M13.000	{"dummy_term": ["多", "关节炎"]}
胎儿和新生儿的暂时性碳水化合物代谢疾患	P70.900	{"dummy_term": ["和", "新生儿", "的", "碳水化合物", "代谢", "疾患"], "5_others_term": ["胎儿", "暂时性"]}
义眼台暴露	T85.301	{"dummy_term": ["暴露"], "4_implant_term": ["义眼台"]}
纵隔恶性肿瘤	C38.300	{"1_region_term": ["纵隔"], "dummy_term": ["恶性肿瘤"]}
胆囊结核	A18.816†K87.0*	{"1_region_term": ["胆囊"], "dummy_term": ["结核"]}
慢性化脓性骨髓炎	M86.609	{"dummy_term": ["慢性", "化脓性", "骨髓炎"]}
膝关节滑膜破裂	M66.110	{"1_region_term": ["膝关节", "滑膜"], "3_disease_term": ["破裂"]}
胎儿和新生儿受母体情况影响,这些情况可能与本次妊娠无关	P00	{"dummy_term": ["和", "新生儿", "受", "母体", "情况", "影响", "这些", "情况", "可能", "与", "本次", "妊娠", "无关"], "5_others_term": ["胎儿"]}
未特指的重型运输车乘员在重型运输车与火车或铁路车辆碰撞交通事故中的损伤	V65.9	{"dummy_term": ["未", "特指", "的", "重型", "运输车", "乘员", "在", "重型", "运输车", "与", "火车", "或", "铁路车辆", "碰撞", "交通事故", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
在前臂水平的其他血管损伤	S55.800	{"1_region_term": ["前臂", "血管"], "dummy_term": ["在", "水平", "的", "其他"], "3_disease_term": ["损伤"]}
先天性肺静脉狭窄	Q26.801	{"1_region_term": ["肺静脉"], "dummy_term": ["先天性"], "3_disease_term": ["狭窄"]}
抗精神病药和精神安定剂的有害效应，其他的	Y49.500	{"dummy_term": ["抗", "精神病", "药", "和", "精神", "安定剂", "的", "有害", "效应", ",", "其他", "的"]}
节肢动物媒介的病毒性发热，其他特指的	A93.800	{"dummy_term": ["节肢动物", "媒介", "的", "病毒性", "发热", ",", "其他", "特指", "的"]}
累及体表20-29%的烧伤	T31.200	{"dummy_term": ["累及", "体表", "20", "-", "29", "%", "的", "烧伤"]}
交通事故中摩托车与其他机动车辆碰撞造成骑摩托车人员的损伤	V29.400	{"dummy_term": ["交通事故", "摩托车", "与", "其他", "机动车辆", "碰撞", "造成", "骑", "摩托车", "人员", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
先天性舌血管畸形	Q27.802	{"1_region_term": ["舌"], "dummy_term": ["先天性"], "3_disease_term": ["血管畸形"]}
慢性迁延性肝炎,不可归类在他处者	K73.0	{"dummy_term": ["慢性", "迁延", "性肝炎", "不可", "归类", "在", "他", "处", "者"]}
其他器官后天性缺失	Z90.8	{"dummy_term": ["其他", "器官", "后天性", "缺失"]}
分类于他处的疾病引起的其他软组织疾患	M73.8*	{"1_region_term": ["软组织"], "dummy_term": ["分类", "于", "他", "处", "的", "疾病", "引起", "的", "其他", "疾患"]}
肾透析作为病人异常反应或以后并发症的原因,而在操作当时并未提及意外事故	Y84.1	{"dummy_term": ["作为", "病人", "异常", "反应", "或", "以后", "并发症", "的", "原因", "而", "在", "当时", "并未", "提及", "意外事故"], "5_others_term": ["肾透析", "操作"]}
粘连性肩关节囊炎	M75.000	{"1_region_term": ["肩关节囊"], "dummy_term": ["性", "炎"], "3_disease_term": ["粘连"]}
其他的细菌性肺炎	J15.8	{"dummy_term": ["其他", "的", "细菌性", "肺炎"]}
未特指的小汽车乘员在小汽车与脚踏车碰撞交通事故中的损伤	V41.9	{"dummy_term": ["未", "特指", "的", "小汽车", "乘员", "在", "小汽车", "与", "脚踏车", "碰撞", "交通事故", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
尺骨下端骨折	S52.804	{"1_region_term": ["尺骨"], "dummy_term": ["下端"], "3_disease_term": ["骨折"]}
下肢的局部肿胀、肿物和肿块	R22.400	{"1_region_term": ["下肢"], "dummy_term": ["的", "局部", "肿胀", ",", "肿物", "和", "肿块"]}
产程和分娩期间麻醉引起的吸入性肺炎	O74.000	{"dummy_term": ["产程", "和", "分娩", "期间", "麻醉", "引起", "的", "吸入性", "肺炎"]}
创伤性小肠破裂	S36.404	{"1_region_term": ["小肠"], "dummy_term": ["创伤性"], "3_disease_term": ["破裂"]}
血栓溶解药的有害效应	Y44.500	{"dummy_term": ["溶解", "药", "的", "有害", "效应"], "3_disease_term": ["血栓"]}
晚期梅毒	A52.900	{"dummy_term": ["晚期", "梅毒"]}
正常妊娠监督	Z34	{"dummy_term": ["正常", "妊娠", "监督"]}
乳房下内象限恶性肿瘤	C50.300	{"1_region_term": ["乳房"], "dummy_term": ["下", "内", "象限", "恶性肿瘤"]}
耳和外耳道恶性黑色素瘤	C43.200	{"1_region_term": ["耳", "外耳道"], "dummy_term": ["和", "恶性", "黑色素瘤"]}
肝功能检查的异常结果	R94.500	{"dummy_term": ["肝功能", "的", "异常", "结果"], "2_operation_term": ["检查"]}
其他急性病毒性肝炎	B17	{"dummy_term": ["其他", "急性", "病毒性", "肝炎"]}
心室颤动	I49.001	{"dummy_term": ["心室颤动"]}
膈的其他先天性畸形	Q79.100	{"1_region_term": ["膈"], "dummy_term": ["的", "其他", "先天性"], "3_disease_term": ["畸形"]}
未特指的内分泌腺良性肿瘤	D35.9	{"dummy_term": ["未", "特指", "的", "内分泌腺", "良性肿瘤"]}
马尔堡病毒病	A98.300	{"dummy_term": ["马尔堡", "病毒", "病"]}
踝关节僵硬	M25.608	{"1_region_term": ["踝关节"], "dummy_term": ["僵硬"]}
其他的女性生殖器脱垂	N81.8	{"dummy_term": ["其他", "的", "生殖器"], "5_others_term": ["女性"], "3_disease_term": ["脱垂"]}
先天性梅毒	A50.900	{"dummy_term": ["先天性", "梅毒"]}
产后甲状腺炎	O90.500	{"dummy_term": ["产", "后", "甲状腺炎"]}
特指细胞类型的其他白血病	C94	{"dummy_term": ["特指", "细胞", "类型", "的", "其他", "白血病"]}
尺桡关节脱位	S53.002	{"1_region_term": ["尺桡关节"], "3_disease_term": ["脱位"]}
涉及床上的跌落	W06.x00	{"dummy_term": ["涉及", "床上", "的", "跌落"]}
妊娠合并甲状腺炎	O99.218	{"dummy_term": ["妊娠", "合", "并", "甲状腺炎"]}
顶叶肿瘤	D43.011	{"1_region_term": ["顶叶"], "dummy_term": ["肿瘤"]}
继发性髋关节病，其他的	M16.700	{"1_region_term": ["髋关节"], "dummy_term": ["继发性", "病", ",", "其他", "的"]}
唇外翻	K13.008	{"1_region_term": ["唇"], "3_disease_term": ["外翻"]}
牵引性视网膜脱离	H33.400	{"1_region_term": ["视网膜"], "2_operation_term": ["牵引性"], "3_disease_term": ["脱离"]}
马丘波出血热	A96.100	{"dummy_term": ["马", "丘", "波", "出血热"]}
类风湿性关节炎相关性肌病	M05.303†G73.7*	{"1_region_term": ["肌"], "dummy_term": ["类", "风湿性关节炎", "相关性", "病"]}
短暂性滑膜炎	M67.300	{"dummy_term": ["短暂性", "滑膜炎"]}
先兆偏头痛	G43.101	{"dummy_term": ["先兆", "偏头痛"]}
急性腮腺炎	K11.201	{"dummy_term": ["急性", "腮腺炎"]}
中枢神经系统良性肿瘤	D33.900	{"dummy_term": ["中枢神经", "系统", "良性肿瘤"]}
先天性球形角膜伴青光眼	Q15.002	{"1_region_term": ["角膜"], "dummy_term": ["先天性", "球形", "伴"], "5_others_term": ["青光眼"]}
甲状旁腺动态未定或动态未知的肿瘤	D44.200	{"1_region_term": ["甲状旁腺"], "dummy_term": ["动态", "未定", "或", "动态", "未知", "的", "肿瘤"]}
先天性踇外翻	Q66.804	{"dummy_term": ["先天性", "踇"], "3_disease_term": ["外翻"]}
腰椎肌腱端炎	M46.003	{"1_region_term": ["腰椎", "肌腱"], "dummy_term": ["端", "炎"]}
斑秃	L63.900	{"dummy_term": ["斑秃"]}
急性心肌梗死后的某些近期并发症	I23	{"dummy_term": ["急性", "心肌梗死", "后", "的", "某些", "近期", "并发症"]}
胃错构瘤	Q85.906	{"1_region_term": ["胃"], "dummy_term": ["错构瘤"]}
未特指肿瘤的特殊筛查	Z12.9	{"dummy_term": ["未", "特指", "肿瘤", "的", "特殊", "筛查"]}
白眉毛	L67.103	{"dummy_term": ["白", "眉毛"]}
舌裂	Q38.304	{"dummy_term": ["舌裂"]}
空洞型肺结核，细胞学（组织学）（-）	A16.036	{"dummy_term": ["空洞", "型", "肺结核", ",", "细胞学", "(", "组织学", ")", "(", "-", ")"]}
盲和视力丧失家族史	Z82.100	{"dummy_term": ["盲", "和", "丧失", "家族史"], "5_others_term": ["视力"]}
肾血管损伤	S35.400	{"1_region_term": ["肾血管"], "3_disease_term": ["损伤"]}
雅达松-佩利扎里皮肤松弛	L90.200	{"1_region_term": ["皮肤"], "dummy_term": ["雅", "达", "松", "-", "佩利", "扎", "里"], "3_disease_term": ["松弛"]}
其他皮肤癣菌病	B35.8	{"dummy_term": ["其他", "皮肤癣", "菌", "病"]}
其他的粘液囊囊肿	M71.3	{"1_region_term": ["粘液囊"], "dummy_term": ["其他", "的"], "3_disease_term": ["囊肿"]}
肺大泡破裂	J43.902	{"1_region_term": ["肺大泡"], "3_disease_term": ["破裂"]}
纵隔淋巴结结核，病理（+）	A15.407	{"1_region_term": ["纵隔淋巴结"], "dummy_term": ["结核", ",", "病理", "(", "+", ")"]}
胃淋巴结继发恶性肿瘤	C77.201	{"1_region_term": ["胃", "淋巴结"], "dummy_term": ["继发", "恶性肿瘤"]}
强迫性障碍,其他的	F42.800	{"dummy_term": ["强迫性", "障碍", "其他", "的"]}
颏部皮样囊肿	K09.804	{"1_region_term": ["颏", "皮"], "dummy_term": ["部", "样"], "3_disease_term": ["囊肿"]}
用尖锐物体方式故意自害	X78.x00	{"dummy_term": ["用", "尖锐", "物体", "方式", "故意", "自", "害"]}
肾上腺髓质恶性肿瘤	C74.100	{"1_region_term": ["肾上腺"], "dummy_term": ["髓质", "恶性肿瘤"]}
其他周围血管疾病	I73	{"1_region_term": ["周围血管"], "dummy_term": ["其他", "疾病"]}
手汗症	R61.001	{"1_region_term": ["手"], "dummy_term": ["汗", "症"]}
中度蛋白质-能量营养不良	E44.000	{"dummy_term": ["中度", "蛋白质", "-", "能量", "营养不良"]}
新生儿未特指的大脑障碍	P91.9	{"1_region_term": ["大脑"], "dummy_term": ["新生儿", "未", "特指", "的", "障碍"]}
细菌性肠道感染	A04.900	{"dummy_term": ["细菌性", "肠道", "感染"]}
外阴和阴道内异物	T19.200	{"1_region_term": ["外阴", "阴道内"], "dummy_term": ["和"], "5_others_term": ["异物"]}
未特指的遗传性共济失调	G11.9	{"dummy_term": ["未", "特指", "的", "遗传性", "共济失调"]}
先天性髋半脱位,单侧	Q65.3	{"1_region_term": ["髋"], "dummy_term": ["先天性"], "5_others_term": ["单侧"], "3_disease_term": ["半脱位"]}
内分泌腺的动态未定或动态未知的肿瘤	D44.900	{"dummy_term": ["内分泌腺", "的", "动态", "未定", "或", "动态", "未知", "的", "肿瘤"]}
脑脊液的异常所见,其他异常所见	R83.8	{"1_region_term": ["脑脊液"], "dummy_term": ["的", "异常", "所", "见", "其他", "异常", "所", "见"]}
非感染性胃肠炎和结肠炎	K52.900	{"dummy_term": ["非", "感染性", "胃肠炎", "和", "结肠炎"]}
创伤性外阴裂伤	S31.401	{"1_region_term": ["外阴"], "dummy_term": ["创伤性"], "3_disease_term": ["裂伤"]}
非淋球菌性尿道炎	N34.101	{"dummy_term": ["非", "淋球菌", "性", "尿道炎"]}
其他的急性骨髓炎	M86.1	{"dummy_term": ["其他", "的", "急性", "骨髓炎"]}
血尿，弥漫性膜增殖性肾小球损害	N02.301	{"dummy_term": ["血尿", ",", "弥漫性", "膜", "增殖性", "肾小球", "损害"]}
升主动脉假性动脉瘤	I71.206	{"1_region_term": ["升主动脉"], "dummy_term": ["假性"], "3_disease_term": ["动脉瘤"]}
病毒性心肌炎后遗症	I40.003	{"dummy_term": ["病毒性", "心肌炎", "后遗症"]}
慢性咽炎	J31.200	{"dummy_term": ["慢性", "咽炎"]}
腹膜的疾患	K66.900	{"1_region_term": ["腹膜"], "dummy_term": ["的", "疾患"]}
肌无力危象	G70.007	{"dummy_term": ["肌无力", "危象"]}
继发性肾上皮质功能减退症	E27.403	{"1_region_term": ["肾"], "dummy_term": ["继发性", "上", "皮质", "功能", "减退症"]}
麻风的后遗症	B92.x00	{"dummy_term": ["麻风", "的", "后遗症"]}
低血糖昏迷性脑病	E16.107†G94.8*	{"dummy_term": ["低血糖", "昏迷", "性", "脑病"]}
不完全性药物流产	O04.401	{"dummy_term": ["不", "完全", "性药物", "流产"]}
角膜碱性烧伤	T26.603	{"1_region_term": ["角膜"], "dummy_term": ["碱性", "烧伤"]}
腹主动脉栓塞和血栓形成	I74.000	{"1_region_term": ["腹主动脉"], "dummy_term": ["栓塞", "和", "形成"], "3_disease_term": ["血栓"]}
上肢(包括肩)结缔组织和软组织恶性肿瘤	C49.100	{"1_region_term": ["上肢", "肩", "软组织"], "dummy_term": ["(", "包括", ")", "结缔组织", "和", "恶性肿瘤"]}
中毒性白内障	H26.301	{"1_region_term": ["白内障"], "dummy_term": ["中毒", "性"]}
累及上肢多个部位的脱位、扭伤和劳损	T03.200	{"1_region_term": ["上肢"], "dummy_term": ["累及", "多", "个", "部位", "的", ",", "扭伤", "和", "劳损"], "3_disease_term": ["脱位"]}
胎儿联体双胎畸形	O35.811	{"dummy_term": ["联体", "双胎"], "5_others_term": ["胎儿"], "3_disease_term": ["畸形"]}
眼继发恶性肿瘤	C79.405	{"1_region_term": ["眼"], "dummy_term": ["继发", "恶性肿瘤"]}
髋和大腿多处损伤	S79.700	{"1_region_term": ["髋", "大腿"], "dummy_term": ["和", "多处"], "3_disease_term": ["损伤"]}
须部假性毛囊炎	L73.100	{"dummy_term": ["须", "部", "假性", "毛囊炎"]}
产程和分娩期间麻醉的心脏并发症	O74.200	{"1_region_term": ["心脏"], "dummy_term": ["产程", "和", "分娩", "期间", "麻醉", "的", "并发症"]}
大麻类物质遗忘综合征	F12.6	{"dummy_term": ["大麻类", "物质", "遗忘", "综合征"]}
与文化适应困难有关，具有潜在健康问题	Z60.300	{"dummy_term": ["与", "文化", "适应", "困难", "有关", ",", "具有", "潜在", "健康", "问题"]}
跖趾关节脱位	S93.103	{"1_region_term": ["跖趾关节"], "3_disease_term": ["脱位"]}
消化器官肿瘤	D37.901	{"dummy_term": ["消化器官", "肿瘤"]}
红鼻肉芽肿	L74.801	{"1_region_term": ["鼻"], "dummy_term": ["红"], "3_disease_term": ["肉芽肿"]}
开放性硬膜下出血	S06.510	{"dummy_term": ["硬", "膜", "下", "出", "血"], "3_disease_term": ["开放性"]}
眼睑囊肿	H02.812	{"1_region_term": ["眼睑"], "3_disease_term": ["囊肿"]}
声带和喉的息肉	J38.100	{"1_region_term": ["声带", "喉"], "dummy_term": ["和", "的"], "3_disease_term": ["息肉"]}
充盈性尿失禁	N39.401	{"dummy_term": ["充盈", "性", "尿失禁"]}
角膜穿通伤伴虹膜嵌顿	S05.201	{"1_region_term": ["角膜", "虹膜"], "dummy_term": ["穿通", "伤", "伴", "嵌", "顿"]}
躯干骨囊肿	M85.602	{"1_region_term": ["躯干", "骨"], "3_disease_term": ["囊肿"]}
抗疟疾和对其他血液原虫有作用的药中毒	T37.200	{"dummy_term": ["抗", "疟疾", "和", "对", "其他", "原虫", "有", "作用", "的", "药", "中毒"], "5_others_term": ["血液"]}
未特指的先天性肺炎	P23.9	{"dummy_term": ["未", "特指", "的", "先天性", "肺炎"]}
胰管梗阻	K86.811	{"1_region_term": ["胰管"], "3_disease_term": ["梗阻"]}
哈勒沃登-施帕茨病	G23.000	{"dummy_term": ["哈勒", "沃", "登", "-", "施", "帕", "茨", "病"]}
其他情况放射治疗后的随诊检查	Z09.1	{"dummy_term": ["其他", "情况", "后", "的", "随", "诊"], "2_operation_term": ["放射治疗", "检查"]}
其他的复发性脊椎不完全性脱位	M43.5	{"1_region_term": ["脊椎"], "dummy_term": ["其他", "的", "不完全性"], "5_others_term": ["复发性"], "3_disease_term": ["脱位"]}
黑变病	L81.402	{"dummy_term": ["黑", "变", "病"]}
耐其他和未特指抗生素的菌株	U89	{"dummy_term": ["耐", "其他", "和", "未", "特指", "的", "菌株"], "5_others_term": ["抗生素"]}
变态反应试验	Z01.501	{"2_operation_term": ["试验"], "5_others_term": ["变态反应"]}
在产程开始前首先察觉到的子宫内低氧症	P20.000	{"1_region_term": ["子宫内"], "dummy_term": ["在", "产程", "开始", "前", "首先", "察觉到", "的", "低氧", "症"]}
下颌畸形	K07.901	{"1_region_term": ["下颌"], "3_disease_term": ["畸形"]}
未特指的顶(浆分)泌汗腺疾患	L75.9	{"dummy_term": ["未", "特指", "的", "顶", "(", "浆", "分", ")", "泌", "汗腺", "疾患"]}
恶性恶病质	C80.x01	{"dummy_term": ["恶性", "恶病质"]}
先天性躯干部动静脉瘘	Q27.306	{"1_region_term": ["动静脉瘘"], "dummy_term": ["先天性", "躯干部"]}
支气管结石	J98.003	{"1_region_term": ["支气管"], "3_disease_term": ["结石"]}
完全性自然流产并发盆腔感染	O03.501	{"1_region_term": ["盆腔"], "dummy_term": ["自然", "流产", "并发", "感染"], "5_others_term": ["完全性"]}
不完全性流产，其他的,并发栓塞	O05.200	{"dummy_term": ["不完全性", "流产", ",", "其他", "的", "并发", "栓塞"]}
结肠恶性肿瘤个人史	Z85.006	{"1_region_term": ["结肠"], "dummy_term": ["恶性肿瘤", "个人", "史"]}
带状疱疹眼病	B02.300	{"dummy_term": ["带状疱疹", "眼病"]}
未特指的船舶非船舶事故的船上事故,未引起淹溺和沉没	V93.9	{"dummy_term": ["未", "特指", "的", "船舶", "非", "船舶", "事故", "的", "船上", "事故", "未", "引起", "淹溺", "和", "沉没"]}
创伤性肱动脉损伤	S45.101	{"1_region_term": ["肱动脉"], "dummy_term": ["创伤性"], "3_disease_term": ["损伤"]}
涉及免疫机制的血液疾病和疾患引起的肾小管-间质疾患	N16.2*	{"dummy_term": ["涉及", "免疫", "机制", "的", "疾病", "和", "疾患", "引起", "的", "肾小管", "-", "间质", "疾患"], "5_others_term": ["血液"]}
腰椎间盘突出	M51.202	{"3_disease_term": ["腰椎间盘突出"]}
慢性咽峡炎	J31.202	{"dummy_term": ["慢性", "咽峡炎"]}
混合细胞型霍奇金病，经典型	M96521/3	{"dummy_term": ["混合", "细胞", "型", "霍奇金", "病", ",", "经", "典型"]}
僵	M20.200	{"dummy_term": ["僵", ""]}
与有害事件有关的其他的医疗诊断和监测装置	Y82.000	{"dummy_term": ["与", "有害", "事件", "有关", "的", "其他", "的", "医疗", "诊断", "和", "装置"], "2_operation_term": ["监测"]}
特发于胎儿和新生儿体被的其他情况	P83	{"dummy_term": ["特发", "于", "和", "新生儿", "体", "被", "的", "其他", "情况"], "5_others_term": ["胎儿"]}
主支气管良性肿瘤	D14.302	{"1_region_term": ["支气管"], "dummy_term": ["主", "良性肿瘤"]}
口腔、食管和胃原位癌	D00	{"1_region_term": ["口腔", "食管", "胃"], "dummy_term": [",", "和", "原位癌"]}
抗高血压药的有害效应，其他的不可归类在他处者	Y52.500	{"dummy_term": ["抗", "高血压", "药", "的", "有害", "效应", ",", "其他", "的", "不可", "归类", "在", "他", "处", "者"]}
肠外耶尔森菌病	A28.200	{"1_region_term": ["肠"], "dummy_term": ["外", "耶尔森", "菌", "病"]}
特发性骨质疏松	M81.500	{"dummy_term": ["特发性", "骨质", "疏松"]}
蔗尘肺	J67.100	{"dummy_term": ["蔗", "尘肺"]}
维生素E缺乏病	E56.000	{"dummy_term": ["维生素", "E", "缺乏", "病"]}
脊髓颈段恶性肿瘤	C72.001	{"1_region_term": ["脊髓", "颈"], "dummy_term": ["段", "恶性肿瘤"]}
起搏器安装术后调整	Z45.006	{"dummy_term": ["起搏器", "后", "调整"], "2_operation_term": ["安装术"]}
肩粘性肌腱炎	M75.004	{"1_region_term": ["肩", "肌腱"], "dummy_term": ["粘性", "炎"]}
空气栓塞(创伤性)	T79.000	{"dummy_term": ["空气", "栓塞", "(", "创伤性", ")"]}
阴唇息肉	N84.302	{"1_region_term": ["阴唇"], "3_disease_term": ["息肉"]}
神经系统的变性性疾病	G31.900	{"dummy_term": ["的", "变性", "性疾病"], "5_others_term": ["神经系统"]}
葡萄球菌，其他的作为分类于其他章疾病的原因	B95.700	{"dummy_term": ["葡萄球菌", ",", "其他", "的", "作为", "分类", "于", "其他", "章", "疾病", "的", "原因"]}
虹膜肿物	H21.901	{"1_region_term": ["虹膜"], "dummy_term": ["肿物"]}
滑膜和肌腱其他特指的疾患	M67.800	{"1_region_term": ["滑膜", "肌腱"], "dummy_term": ["和", "其他", "特指", "的", "疾患"]}
流行性胸肌痛	B33.001	{"dummy_term": ["流行性", "胸肌", "痛"]}
急性和亚急性肝衰竭	K72.000	{"1_region_term": ["肝"], "dummy_term": ["急性", "和", "亚急性", "衰竭"]}
急性肾炎综合征,弥漫性膜性肾小球肾炎	N00.2	{"dummy_term": ["急性肾炎", "综合征", "弥漫性", "肾小球", "肾炎"], "3_disease_term": ["膜性"]}
乳糜性渗出	J94.000	{"dummy_term": ["乳糜", "性", "渗出"]}
吻合、分流或移植手术作为病人异常反应或以后并发症的原因,而在操作当时并未提及意外事故	Y83.2	{"dummy_term": ["吻合", ",", "分流", "或", "移植手术", "作为", "病人", "异常", "反应", "或", "以后", "并发症", "的", "原因", "而", "在", "当时", "并未", "提及", "意外事故"], "5_others_term": ["操作"]}
接触锋利的玻璃	W25.x00	{"dummy_term": ["接触", "锋利", "的", "玻璃"]}
皮肤炭疽	A22.000	{"1_region_term": ["皮肤"], "dummy_term": ["炭疽"]}
脊髓性肌萎缩和有关的综合征	G12	{"1_region_term": ["脊髓"], "dummy_term": ["性", "肌萎缩", "和", "有关", "的", "综合征"]}
遗传性蛋白C缺陷症	D68.503	{"dummy_term": ["遗传性", "蛋白", "C", "缺陷", "症"]}
继发性血小板减少	D69.500	{"dummy_term": ["继发性", "减少"], "5_others_term": ["血小板"]}
其他高苯丙酮酸尿	E70.1	{"dummy_term": ["其他", "高", "苯丙酮", "酸", "尿"]}
新生儿短暂性心肌缺血	P29.400	{"dummy_term": ["新生儿", "短暂性", "心肌缺血"]}
未特指的牙发育疾患	K00.9	{"dummy_term": ["未", "特指", "的", "牙发育", "疾患"]}
播散性毛霉病	B46.400	{"dummy_term": ["播散", "性", "毛", "霉病"]}
急性鼓膜炎	H73.000	{"dummy_term": ["急性", "鼓膜炎"]}
冯.希佩尔－林道综合征	Q85.804	{"dummy_term": ["冯", "希", "佩尔", "-", "林", "道", "综合征"]}
亚急性坏死性脑病	G31.803	{"dummy_term": ["亚急性", "坏死性", "脑病"]}
结核性肺纤维变性，痰镜检（-）	A16.003	{"1_region_term": ["肺"], "dummy_term": ["结核性", "纤维", "变性", ",", "痰", "镜检", "(", "-", ")"]}
骶椎腰化	Q76.420	{"1_region_term": ["骶椎", "腰"], "dummy_term": ["化"]}
与缺乏身体锻炼有关	Z72.3	{"dummy_term": ["与", "缺乏", "锻炼", "有关"], "5_others_term": ["身体"]}
环杓关节强硬	J38.720	{"1_region_term": ["环杓关节"], "dummy_term": ["强硬"]}
颈静脉球肿瘤	D44.703	{"1_region_term": ["颈静脉"], "dummy_term": ["球", "肿瘤"]}
中位心	Q24.813	{"1_region_term": ["心"], "dummy_term": ["位"], "5_others_term": ["中"]}
晕厥和虚脱	R55.x01	{"dummy_term": ["晕厥", "和", "虚脱"]}
继发性冷性溶血性贫血	D59.104	{"dummy_term": ["继发性", "冷性", "溶血性", "贫血"]}
口腔念珠菌感染	B37.001	{"1_region_term": ["口腔"], "dummy_term": ["念珠菌", "感染"]}
上颌骨良性肿瘤	D16.411	{"1_region_term": ["上颌骨"], "dummy_term": ["良性肿瘤"]}
